Age,Preferred Type of Place,Visited Place,Budget,Season
26,Temples,Rishikesh,10346,Summer
35,Beaches,Andaman & Nicobar Islands,8994,All Seasons
54,Nature,Darjeeling,18019,All Seasons
44,Historical,Agra,18966,Winter
29,Historical,Mysore,17182,Monsoon
24,Nature,Nainital,16458,All Seasons
24,Adventure,Manali,30517,Summer
39,Beaches,Gokarna,22678,Winter
50,Adventure,Rishikesh,10108,Summer
36,Adventure,Leh-Ladakh,21804,All Seasons
44,Nature,Ooty,15004,Summer
35,Beaches,Gokarna,8399,Winter
27,Nature,Sikkim,16291,All Seasons
23,Adventure,Spiti Valley,16350,All Seasons
54,Adventure,Spiti Valley,32214,All Seasons
49,Nature,Darjeeling,13953,All Seasons
19,Adventure,Spiti Valley,28944,All Seasons
41,Adventure,Leh-Ladakh,35487,All Seasons
25,Nature,Ooty,11896,Summer
60,Adventure,Leh-Ladakh,34606,All Seasons
23,Temples,Varanasi,7224,Winter
60,Temples,Madurai,3074,Summer
44,Historical,Agra,13924,Winter
36,Nature,Nainital,13602,All Seasons
27,Historical,Jaipur,17164,Winter
50,Nature,Sikkim,17001,All Seasons
20,Historical,Agra,10019,Winter
22,Temples,Madurai,14720,Summer
19,Historical,Jaipur,11424,Winter
51,Temples,Puri,10385,All Seasons
33,Temples,Haridwar,12575,Winter
49,Historical,Mysore,17331,Monsoon
35,Historical,Mysore,26916,Monsoon
35,Temples,Rishikesh,5324,Summer
60,Nature,Darjeeling,11917,All Seasons
27,Temples,Madurai,10293,Summer
60,Temples,Rishikesh,13090,Summer
46,Nature,Nainital,10935,All Seasons
22,Historical,Jaipur,29407,Winter
30,Beaches,Andaman & Nicobar Islands,20233,All Seasons
57,Temples,Rishikesh,11580,Summer
44,Beaches,Gokarna,22676,Winter
57,Historical,Hampi,16672,Summer
45,Nature,Sikkim,7887,All Seasons
41,Historical,Hampi,13502,Summer
37,Adventure,Manali,10044,Summer
19,Beaches,Gokarna,22593,Winter
27,Historical,Agra,28363,Winter
24,Historical,Jaipur,9293,Winter
37,Nature,Sikkim,11720,All Seasons
35,Nature,Munnar,14121,All Seasons
56,Beaches,Gokarna,12072,Winter
32,Nature,Sikkim,12549,All Seasons
18,Temples,Madurai,4277,Summer
28,Beaches,Pondicherry,24476,All Seasons
25,Beaches,Goa,19767,Winter
41,Historical,Mysore,11799,Monsoon
37,Adventure,Manali,21024,Summer
21,Historical,Agra,25152,Winter
40,Historical,Delhi,12693,All Seasons
32,Beaches,Goa,17407,Winter
59,Historical,Hampi,14400,Summer
53,Historical,Jaipur,24397,Winter
29,Beaches,Pondicherry,9445,All Seasons
41,Beaches,Goa,5862,Winter
44,Beaches,Goa,23928,Winter
24,Nature,Munnar,16603,All Seasons
30,Temples,Puri,9507,All Seasons
36,Beaches,Pondicherry,24050,All Seasons
41,Beaches,Goa,13953,Winter
59,Temples,Madurai,7599,Summer
52,Beaches,Goa,15926,Winter
42,Temples,Haridwar,5071,Winter
39,Adventure,Rishikesh,25722,Summer
26,Nature,Munnar,7416,All Seasons
27,Nature,Nainital,14463,All Seasons
40,Beaches,Pondicherry,19400,All Seasons
41,Temples,Varanasi,13289,Winter
47,Historical,Agra,27276,Winter
59,Nature,Munnar,6429,All Seasons
44,Temples,Madurai,12215,Summer
24,Beaches,Andaman & Nicobar Islands,10721,All Seasons
53,Beaches,Gokarna,10464,Winter
58,Beaches,Andaman & Nicobar Islands,5681,All Seasons
23,Beaches,Pondicherry,22365,All Seasons
49,Historical,Delhi,19213,All Seasons
47,Historical,Mysore,10696,Monsoon
19,Nature,Ooty,14777,Summer
30,Beaches,Gokarna,18046,Winter
50,Temples,Rishikesh,6156,Summer
49,Adventure,Spiti Valley,16317,All Seasons
48,Temples,Madurai,9398,Summer
59,Historical,Jaipur,26391,Winter
49,Historical,Hampi,29651,Summer
44,Beaches,Pondicherry,7463,All Seasons
19,Adventure,Leh-Ladakh,28725,All Seasons
31,Beaches,Gokarna,5125,Winter
41,Temples,Puri,4030,All Seasons
40,Nature,Ooty,18739,Summer
18,Nature,Munnar,8113,All Seasons
56,Nature,Ooty,16791,Summer
48,Nature,Ooty,10089,Summer
54,Adventure,Manali,29697,Summer
31,Temples,Puri,12608,All Seasons
19,Beaches,Pondicherry,5317,All Seasons
58,Beaches,Gokarna,9107,Winter
60,Nature,Ooty,16056,Summer
19,Beaches,Gokarna,12258,Winter
31,Adventure,Rishikesh,37163,Summer
48,Beaches,Pondicherry,13282,All Seasons
37,Beaches,Pondicherry,17061,All Seasons
36,Historical,Hampi,24183,Summer
26,Beaches,Goa,20340,Winter
18,Adventure,Spiti Valley,34242,All Seasons
50,Adventure,Auli,33340,All Seasons
32,Adventure,Rishikesh,15439,Summer
23,Beaches,Goa,22553,Winter
21,Temples,Varanasi,14187,Winter
45,Adventure,Manali,19800,Summer
30,Temples,Varanasi,10362,Winter
22,Temples,Puri,13310,All Seasons
27,Historical,Hampi,10519,Summer
43,Adventure,Auli,35909,All Seasons
47,Beaches,Pondicherry,19612,All Seasons
32,Nature,Munnar,4132,All Seasons
30,Historical,Hampi,15463,Summer
26,Temples,Puri,6769,All Seasons
46,Temples,Varanasi,10087,Winter
54,Historical,Hampi,14075,Summer
51,Historical,Hampi,25146,Summer
36,Adventure,Manali,19736,Summer
52,Historical,Jaipur,12938,Winter
56,Adventure,Rishikesh,20565,Summer
20,Beaches,Andaman & Nicobar Islands,22736,All Seasons
43,Nature,Darjeeling,9825,All Seasons
32,Temples,Varanasi,7429,Winter
51,Adventure,Rishikesh,27667,Summer
23,Historical,Delhi,10866,All Seasons
33,Historical,Agra,23062,Winter
26,Nature,Darjeeling,10779,All Seasons
26,Temples,Rishikesh,12754,Summer
36,Beaches,Andaman & Nicobar Islands,5389,All Seasons
49,Nature,Ooty,14544,Summer
35,Nature,Nainital,17654,All Seasons
39,Historical,Mysore,11475,Monsoon
38,Beaches,Goa,22716,Winter
27,Nature,Munnar,8255,All Seasons
34,Temples,Puri,9749,All Seasons
57,Adventure,Auli,18901,All Seasons
29,Adventure,Spiti Valley,17907,All Seasons
39,Adventure,Rishikesh,35628,Summer
38,Temples,Varanasi,13485,Winter
52,Beaches,Andaman & Nicobar Islands,9809,All Seasons
28,Temples,Madurai,9439,Summer
39,Historical,Mysore,8498,Monsoon
30,Historical,Mysore,14967,Monsoon
34,Historical,Jaipur,10904,Winter
56,Temples,Madurai,5092,Summer
44,Nature,Ooty,14669,Summer
38,Temples,Haridwar,4934,Winter
18,Nature,Nainital,12333,All Seasons
38,Adventure,Spiti Valley,18453,All Seasons
34,Beaches,Gokarna,10458,Winter
49,Beaches,Goa,11512,Winter
58,Adventure,Leh-Ladakh,25284,All Seasons
25,Beaches,Gokarna,17073,Winter
56,Nature,Munnar,18442,All Seasons
50,Beaches,Goa,16832,Winter
32,Adventure,Auli,10934,All Seasons
50,Nature,Darjeeling,16728,All Seasons
58,Nature,Ooty,4164,Summer
25,Nature,Munnar,17730,All Seasons
57,Adventure,Spiti Valley,14005,All Seasons
30,Historical,Delhi,12115,All Seasons
22,Beaches,Pondicherry,21151,All Seasons
33,Nature,Munnar,19229,All Seasons
30,Historical,Mysore,24431,Monsoon
27,Temples,Madurai,7108,Summer
49,Historical,Hampi,23667,Summer
31,Beaches,Pondicherry,7578,All Seasons
40,Historical,Hampi,19426,Summer
23,Temples,Haridwar,11341,Winter
33,Historical,Hampi,14683,Summer
25,Nature,Ooty,12343,Summer
47,Beaches,Goa,23613,Winter
57,Beaches,Andaman & Nicobar Islands,19344,All Seasons
42,Temples,Haridwar,3884,Winter
35,Beaches,Gokarna,17491,Winter
30,Historical,Agra,9837,Winter
24,Beaches,Pondicherry,15216,All Seasons
58,Temples,Madurai,12469,Summer
54,Nature,Munnar,12317,All Seasons
25,Temples,Varanasi,12120,Winter
